"time","open","high","low","close","volume","volumeq"
"2020-09-12 08:00:00+00",10331.09,10345,10306.34,10343.98,1246.2,12877933
"2020-09-12 07:00:00+00",10358.61,10358.63,10323.09,10331.09,1220.34,12615384
"2020-09-12 06:00:00+00",10358.95,10370,10354.67,10358.61,1071.77,11106366
"2020-09-12 05:00:00+00",10342.33,10367.87,10336.28,10358.95,1037.78,10746698
"2020-09-12 04:00:00+00",10342.98,10359.98,10322.03,10342.33,908.39,9394625
"2020-09-12 03:00:00+00",10370.71,10371.83,10323.86,10342.98,1215.01,12571149
"2020-09-12 02:00:00+00",10347.31,10380.89,10345.89,10370.71,999.02,10352723
"2020-09-12 01:00:00+00",10387.89,10397.86,10329.04,10347.31,1520.27,15742232
"2020-09-12 00:00:00+00",10359.52,10397.6,10345,10387.89,1555.39,16129504
"2020-09-11 23:00:00+00",10343.26,10396,10343.18,10359.52,2219.22,23018384
"2020-09-11 22:00:00+00",10322.55,10344.65,10318.42,10343.26,896.9,9265676
"2020-09-11 21:00:00+00",10323.2,10334.38,10305.39,10322.55,1128.94,11648531
"2020-09-11 20:00:00+00",10313.15,10337.77,10293.79,10323.2,1299.18,13408513
"2020-09-11 19:00:00+00",10296.9,10325,10292.12,10313.15,1137.88,11731912
"2020-09-11 18:00:00+00",10306.36,10315.82,10267.67,10296.9,1671.73,17195496
"2020-09-11 17:00:00+00",10318.76,10345.31,10299.14,10306.36,2051.81,21167342
"2020-09-11 16:00:00+00",10289.46,10331.79,10289.46,10318.76,2530.63,26099334
"2020-09-11 15:00:00+00",10262.41,10301.25,10252.01,10289.46,1991.99,2.047078E+7
"2020-09-11 14:00:00+00",10289.42,10315.5,10252,10262.41,2149.82,22121354
"2020-09-11 13:00:00+00",10252.6,10292.7,10250.55,10289.42,1686.22,17314176
"2020-09-11 12:00:00+00",10285.47,10305.89,10250,10252.6,1852.82,19041562
"2020-09-11 11:00:00+00",10319.05,10323.13,10271.61,10285.47,2029.98,2.089329E+7
"2020-09-11 10:00:00+00",10293.61,10333.91,10289.86,10319.05,2256.95,23270788
"2020-09-11 09:00:00+00",10260.75,10309.34,10252.71,10293.61,2751.51,28290948
"2020-09-11 08:00:00+00",10259.81,10287.98,10238.09,10260.75,1607.28,16496688
"2020-09-11 07:00:00+00",10284.47,10291.94,10245.49,10259.81,1500.73,15406735
"2020-09-11 06:00:00+00",10223.57,10284.93,10216.13,10284.47,1566.43,16057932
"2020-09-11 05:00:00+00",10220.76,10264,10200,10223.57,2277.33,23304048
"2020-09-11 04:00:00+00",10258.81,10273,10209.75,10220.76,2694.44,27597918
"2020-09-11 03:00:00+00",10305.39,10315.61,10250.25,10258.81,1875.32,19280524
"2020-09-11 02:00:00+00",10339.13,10351.09,10290.45,10305.39,1504.84,15527087
"2020-09-11 01:00:00+00",10336.87,10380.34,10333.37,10339.13,1592.89,16502482
"2020-09-11 00:00:00+00",10343.38,10351.46,10305.91,10336.87,1293.77,13361652
